Region,Scenario,Variable,Unit,2000,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Notes
R5LAM,IMAGE - RCP3-PD (2.6),CH4 emissions -Total,TgCH4/yr,39.956,42.136,45.965,38.689,36.089,35.157,31.133,29.370,28.699,27.450,26.283,24.765,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5MAF,IMAGE - RCP3-PD (2.6),CH4 emissions -Total,TgCH4/yr,44.277,50.536,55.065,48.739,49.163,53.192,47.953,38.384,37.622,36.513,35.392,33.564,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5OECD,IMAGE - RCP3-PD (2.6),CH4 emissions -Total,TgCH4/yr,60.839,58.424,59.490,36.655,31.254,28.259,23.284,20.912,20.334,19.666,18.651,17.181,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5REF,IMAGE - RCP3-PD (2.6),CH4 emissions -Total,TgCH4/yr,29.690,30.159,27.213,20.709,17.548,16.079,12.986,11.567,12.125,12.222,12.086,12.107,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
World,IMAGE - RCP3-PD (2.6),CH4 emissions -Total,TgCH4/yr,300.138,309.092,329.828,253.032,233.382,224.019,189.292,166.461,161.303,155.071,148.434,142.047,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5ASIA,IMAGE - RCP3-PD (2.6),CH4 emissions - Surface Transportation,TgCH4/yr,0.278,0.378,0.499,0.759,0.953,1.213,0.788,0.464,0.160,0.214,0.756,2.548,
R5LAM,IMAGE - RCP3-PD (2.6),CH4 emissions - Surface Transportation,TgCH4/yr,0.102,0.110,0.123,0.144,0.168,0.205,0.168,0.108,0.037,0.004,0.001,0.000,
R5MAF,IMAGE - RCP3-PD (2.6),CH4 emissions - Surface Transportation,TgCH4/yr,0.075,0.096,0.109,0.161,0.262,0.398,0.470,0.428,0.196,0.037,0.009,0.007,
R5OECD,IMAGE - RCP3-PD (2.6),CH4 emissions - Surface Transportation,TgCH4/yr,0.364,0.378,0.403,0.570,0.740,0.706,0.558,0.321,0.095,0.010,0.026,0.250,
R5REF,IMAGE - RCP3-PD (2.6),CH4 emissions - Surface Transportation,TgCH4/yr,0.051,0.085,0.109,0.231,0.568,0.840,0.921,0.759,0.351,0.073,0.003,0.001,
World,IMAGE - RCP3-PD (2.6),CH4 emissions - Surface Transportation,TgCH4/yr,0.870,1.047,1.243,1.865,2.691,3.361,2.905,2.080,0.838,0.338,0.794,2.806,
