R5MAF,AIM - RCP 6.0,CH4 emissions - Residential and Commercial,TgCH4/yr,3.566,3.398,2.984,2.943,2.743,2.474,2.160,1.892,1.722,1.512,1.293,1.076,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5OECD,AIM - RCP 6.0,CH4 emissions - Residential and Commercial,TgCH4/yr,0.883,0.815,0.772,0.682,0.588,0.502,0.420,0.343,0.268,0.207,0.158,0.124,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5REF,AIM - RCP 6.0,CH4 emissions - Residential and Commercial,TgCH4/yr,0.454,0.475,0.459,0.354,0.287,0.227,0.175,0.131,0.097,0.076,0.068,0.055,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
World,AIM - RCP 6.0,CH4 emissions - Residential and Commercial,TgCH4/yr,13.174,12.455,11.192,10.325,9.392,8.437,7.428,6.377,5.537,4.651,3.786,3.115,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5ASIA,AIM - RCP 6.0,CH4 emissions - Ag waste burning on fields,TgCH4/yr,1.002,1.097,1.179,1.293,1.426,1.509,1.578,1.647,1.742,1.736,1.513,1.361,
R5LAM,AIM - RCP 6.0,CH4 emissions - Ag waste burning on fields,TgCH4/yr,0.117,0.127,0.139,0.119,0.142,0.164,0.183,0.209,0.229,0.226,0.257,0.261,
R5MAF,AIM - RCP 6.0,CH4 emissions - Ag waste burning on fields,TgCH4/yr,0.152,0.171,0.184,0.185,0.219,0.254,0.286,0.324,0.349,0.361,0.402,0.407,
R5OECD,AIM - RCP 6.0,CH4 emissions - Ag waste burning on fields,TgCH4/yr,0.115,0.117,0.121,0.112,0.126,0.140,0.149,0.159,0.166,0.167,0.173,0.168,
R5REF,AIM - RCP 6.0,CH4 emissions - Ag waste burning on fields,TgCH4/yr,0.067,0.070,0.072,0.072,0.077,0.082,0.085,0.088,0.089,0.084,0.084,0.081,
World,AIM - RCP 6.0,CH4 emissions - Ag waste burning on fields,TgCH4/yr,1.453,1.583,1.695,1.781,1.991,2.149,2.281,2.426,2.575,2.574,2.429,2.278,
R5ASIA,AIM - RCP 6.0,"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,61.807,67.930,73.384,74.902,82.180,87.987,92.962,98.439,104.696,105.621,93.864,85.760,
R5LAM,AIM - RCP 6.0,"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,20.168,21.704,22.948,18.778,19.605,20.769,21.925,24.678,27.717,26.781,16.064,13.678,
R5MAF,AIM - RCP 6.0,"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,13.326,15.470,16.929,12.329,13.971,15.418,17.223,20.937,25.035,26.253,24.380,23.436,
R5OECD,AIM - RCP 6.0,"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,23.075,23.535,24.396,25.363,29.114,33.467,35.970,36.222,34.542,31.594,20.485,18.024,
R5REF,AIM - RCP 6.0,"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,6.921,7.534,7.463,6.530,6.295,6.187,6.068,5.961,5.712,5.126,3.919,3.586,
World,AIM - RCP 6.0,"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,125.293,136.163,145.111,137.894,151.158,163.822,174.140,186.228,197.694,195.366,158.700,144.475,
R5ASIA,AIM - RCP 6.0,CH4 emissions - Grassland burning,TgCH4/yr,0.185,0.187,0.197,0.229,0.241,0.282,0.334,0.384,0.445,0.501,0.560,0.577,
R5LAM,AIM - RCP 6.0,CH4 emissions - Grassland burning,TgCH4/yr,0.826,0.838,0.820,0.893,0.842,0.827,0.849,0.876,0.908,0.937,0.955,0.959,
R5MAF,AIM - RCP 6.0,CH4 emissions - Grassland burning,TgCH4/yr,6.369,6.382,6.354,6.390,6.317,6.386,6.531,6.708,6.938,7.154,7.318,7.410,
R5OECD,AIM - RCP 6.0,CH4 emissions - Grassland burning,TgCH4/yr,0.886,0.890,0.886,0.938,0.886,0.897,0.912,0.938,0.946,0.960,0.968,0.973,
R5REF,AIM - RCP 6.0,CH4 emissions - Grassland burning,TgCH4/yr,0.660,0.659,0.662,0.672,0.678,0.690,0.707,0.726,0.747,0.765,0.779,0.788,
World,AIM - RCP 6.0,CH4 emissions - Grassland burning,TgCH4/yr,8.926,8.956,8.919,9.121,8.964,9.082,9.332,9.632,9.984,10.316,10.581,10.707,
R5ASIA,AIM - RCP 6.0,CH4 emissions - Forest burning,TgCH4/yr,8.546,8.553,8.552,8.852,8.908,9.043,9.271,9.530,9.797,10.058,10.389,10.625,1) MESSAGE data only reported for main tropical regions based on RETRO
R5LAM,AIM - RCP 6.0,CH4 emissions - Forest burning,TgCH4/yr,3.717,3.754,3.675,3.816,3.719,3.609,3.667,3.743,3.843,3.940,4.030,4.073,1) MESSAGE data only reported for main tropical regions based on RETRO
R5MAF,AIM - RCP 6.0,CH4 emissions - Forest burning,TgCH4/yr,1.311,1.321,1.302,1.342,1.377,1.486,1.636,1.819,2.035,2.265,2.486,2.681,1) MESSAGE data only reported for main tropical regions based on RETRO
R5OECD,AIM - RCP 6.0,CH4 emissions - Forest burning,TgCH4/yr,0.847,0.846,0.847,0.856,0.848,0.852,0.860,0.875,0.881,0.887,0.893,0.896,1) MESSAGE data only reported for main tropical regions based on RETRO
R5REF,AIM - RCP 6.0,CH4 emissions - Forest burning,TgCH4/yr,2.177,2.174,2.180,2.196,2.215,2.241,2.277,2.316,2.358,2.394,2.421,2.439,1) MESSAGE data only reported for main tropical regions based on RETRO
World,AIM - RCP 6.0,CH4 emissions - Forest burning,TgCH4/yr,16.598,16.648,16.557,17.063,17.066,17.232,17.711,18.283,18.914,19.544,20.219,20.714,1) MESSAGE data only reported for main tropical regions based on RETRO
R5ASIA,AIM - RCP 6.0,N2O emissions - Total,TgN2O/yr,4.000,4.267,4.581,4.805,5.278,5.704,6.025,6.361,6.624,6.905,6.661,6.491,
R5LAM,AIM - RCP 6.0,N2O emissions - Total,TgN2O/yr,1.642,1.726,1.855,1.517,1.665,1.864,2.074,2.402,2.689,2.645,2.696,2.662,
R5MAF,AIM - RCP 6.0,N2O emissions - Total,TgN2O/yr,1.855,2.007,2.191,2.081,2.460,2.862,3.312,3.803,4.275,4.649,4.980,5.201,
R5OECD,AIM - RCP 6.0,N2O emissions - Total,TgN2O/yr,3.477,3.350,3.484,3.306,3.646,3.989,4.223,4.346,4.392,4.347,4.208,4.057,
R5REF,AIM - RCP 6.0,N2O emissions - Total,TgN2O/yr,0.744,0.724,0.751,0.753,0.808,0.869,0.925,0.940,0.926,0.880,0.878,0.869,
World,AIM - RCP 6.0,N2O emissions - Total,TgN2O/yr,11.718,12.075,12.863,12.461,13.857,15.287,16.558,17.853,18.906,19.427,19.422,19.281,
R5ASIA,AIM - RCP 6.0,HFC23 emissions - Total,kt/yr,4.097,6.968,6.651,0.892,0.535,0.320,0.191,0.107,0.057,0.029,0.000,0.000,
R5LAM,AIM - RCP 6.0,HFC23 emissions - Total,kt/yr,0.323,0.337,0.412,0.040,0.024,0.014,0.009,0.005,0.003,0.001,0.000,0.000,
R5MAF,AIM - RCP 6.0,HFC23 emissions - Total,kt/yr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
R5OECD,AIM - RCP 6.0,HFC23 emissions - Total,kt/yr,5.784,3.455,2.453,0.218,0.131,0.078,0.047,0.026,0.014,0.007,0.000,0.000,
R5REF,AIM - RCP 6.0,HFC23 emissions - Total,kt/yr,0.192,0.052,0.006,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,
World,AIM - RCP 6.0,HFC23 emissions - Total,kt/yr,10.395,10.812,9.522,1.152,0.691,0.413,0.246,0.138,0.073,0.037,0.000,0.000,
R5ASIA,AIM - RCP 6.0,HFC32 emissions - Total,kt/yr,0.867,3.035,4.893,16.710,25.772,34.555,34.679,40.334,45.687,47.095,43.762,37.056,
R5LAM,AIM - RCP 6.0,HFC32 emissions - Total,kt/yr,0.128,0.470,0.978,3.360,4.804,6.500,7.136,9.375,11.619,12.778,12.989,12.516,
R5MAF,AIM - RCP 6.0,HFC32 emissions - Total,kt/yr,0.080,0.369,0.832,3.043,3.866,5.109,6.258,9.413,13.208,16.189,18.088,18.862,
R5OECD,AIM - RCP 6.0,HFC32 emissions - Total,kt/yr,2.808,6.757,10.499,34.997,34.046,30.125,22.421,20.466,18.578,15.603,12.554,9.837,
R5REF,AIM - RCP 6.0,HFC32 emissions - Total,kt/yr,0.117,0.364,0.741,2.533,3.548,4.422,4.113,4.497,4.789,4.606,3.810,2.955,
