R5REF,AIM - RCP 6.0,"Black Carbon emissions - Power Plants, Energy Conversion, Extraction, and Distribution",Tg/yr,0.008,0.006,0.005,0.003,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,
World,AIM - RCP 6.0,"Black Carbon emissions - Power Plants, Energy Conversion, Extraction, and Distribution",Tg/yr,0.054,0.054,0.054,0.048,0.038,0.041,0.034,0.032,0.018,0.012,0.008,0.006,
R5ASIA,AIM - RCP 6.0,Black Carbon emissions - Solvents,Tg/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5LAM,AIM - RCP 6.0,Black Carbon emissions - Solvents,Tg/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5MAF,AIM - RCP 6.0,Black Carbon emissions - Solvents,Tg/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5OECD,AIM - RCP 6.0,Black Carbon emissions - Solvents,Tg/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5REF,AIM - RCP 6.0,Black Carbon emissions - Solvents,Tg/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
World,AIM - RCP 6.0,Black Carbon emissions - Solvents,Tg/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5ASIA,AIM - RCP 6.0,"Black Carbon emissions - Waste (landfills, wastewater, non-energy incineration)",Tg/yr,0.013,0.012,0.011,0.008,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.001,
R5LAM,AIM - RCP 6.0,"Black Carbon emissions - Waste (landfills, wastewater, non-energy incineration)",Tg/yr,0.005,0.005,0.004,0.003,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,
R5MAF,AIM - RCP 6.0,"Black Carbon emissions - Waste (landfills, wastewater, non-energy incineration)",Tg/yr,0.007,0.007,0.007,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,
R5OECD,AIM - RCP 6.0,"Black Carbon emissions - Waste (landfills, wastewater, non-energy incineration)",Tg/yr,0.007,0.006,0.005,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,
R5REF,AIM - RCP 6.0,"Black Carbon emissions - Waste (landfills, wastewater, non-energy incineration)",Tg/yr,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,
World,AIM - RCP 6.0,"Black Carbon emissions - Waste (landfills, wastewater, non-energy incineration)",Tg/yr,0.035,0.033,0.029,0.023,0.018,0.013,0.010,0.007,0.005,0.004,0.003,0.002,
R5ASIA,AIM - RCP 6.0,Black Carbon emissions - Industry (combustion & processing),Tg/yr,0.953,1.025,1.125,1.099,1.112,1.081,0.976,0.777,0.548,0.387,0.279,0.206,1) MiniCAM includes emissions from charcoal production in Industry
R5LAM,AIM - RCP 6.0,Black Carbon emissions - Industry (combustion & processing),Tg/yr,0.117,0.117,0.113,0.103,0.092,0.076,0.061,0.047,0.034,0.024,0.018,0.014,1) MiniCAM includes emissions from charcoal production in Industry
R5MAF,AIM - RCP 6.0,Black Carbon emissions - Industry (combustion & processing),Tg/yr,0.091,0.096,0.092,0.097,0.097,0.091,0.084,0.075,0.060,0.047,0.037,0.030,1) MiniCAM includes emissions from charcoal production in Industry
R5OECD,AIM - RCP 6.0,Black Carbon emissions - Industry (combustion & processing),Tg/yr,0.254,0.253,0.237,0.191,0.149,0.113,0.085,0.061,0.043,0.029,0.019,0.013,1) MiniCAM includes emissions from charcoal production in Industry
R5REF,AIM - RCP 6.0,Black Carbon emissions - Industry (combustion & processing),Tg/yr,0.083,0.083,0.076,0.061,0.048,0.036,0.027,0.019,0.012,0.008,0.005,0.003,1) MiniCAM includes emissions from charcoal production in Industry
World,AIM - RCP 6.0,Black Carbon emissions - Industry (combustion & processing),Tg/yr,1.498,1.574,1.643,1.551,1.498,1.398,1.233,0.980,0.697,0.494,0.358,0.267,1) MiniCAM includes emissions from charcoal production in Industry
R5ASIA,AIM - RCP 6.0,Black Carbon emissions - Residential and Commercial,Tg/yr,1.144,1.382,1.349,1.312,1.421,1.621,1.648,1.418,1.060,0.776,0.530,0.386,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5LAM,AIM - RCP 6.0,Black Carbon emissions - Residential and Commercial,Tg/yr,0.085,0.082,0.075,0.054,0.044,0.037,0.030,0.024,0.019,0.014,0.011,0.008,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5MAF,AIM - RCP 6.0,Black Carbon emissions - Residential and Commercial,Tg/yr,0.370,0.399,0.377,0.364,0.357,0.340,0.314,0.281,0.241,0.201,0.174,0.143,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5OECD,AIM - RCP 6.0,Black Carbon emissions - Residential and Commercial,Tg/yr,0.116,0.114,0.112,0.092,0.073,0.057,0.043,0.030,0.019,0.012,0.008,0.005,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5REF,AIM - RCP 6.0,Black Carbon emissions - Residential and Commercial,Tg/yr,0.233,0.252,0.250,0.206,0.162,0.124,0.091,0.066,0.044,0.031,0.023,0.017,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
World,AIM - RCP 6.0,Black Carbon emissions - Residential and Commercial,Tg/yr,1.949,2.229,2.163,2.028,2.058,2.179,2.125,1.819,1.384,1.034,0.745,0.559,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5ASIA,AIM - RCP 6.0,Black Carbon emissions - Ag waste burning on fields,Tg/yr,0.068,0.076,0.078,0.073,0.072,0.068,0.064,0.060,0.056,0.052,0.041,0.034,
R5LAM,AIM - RCP 6.0,Black Carbon emissions - Ag waste burning on fields,Tg/yr,0.022,0.023,0.025,0.019,0.020,0.020,0.020,0.021,0.021,0.019,0.020,0.019,
R5MAF,AIM - RCP 6.0,Black Carbon emissions - Ag waste burning on fields,Tg/yr,0.023,0.025,0.026,0.023,0.024,0.025,0.026,0.026,0.026,0.025,0.025,0.023,
R5OECD,AIM - RCP 6.0,Black Carbon emissions - Ag waste burning on fields,Tg/yr,0.018,0.018,0.018,0.014,0.015,0.015,0.015,0.015,0.015,0.014,0.013,0.012,
R5REF,AIM - RCP 6.0,Black Carbon emissions - Ag waste burning on fields,Tg/yr,0.016,0.017,0.016,0.013,0.012,0.011,0.010,0.010,0.008,0.007,0.006,0.005,
World,AIM - RCP 6.0,Black Carbon emissions - Ag waste burning on fields,Tg/yr,0.146,0.159,0.163,0.143,0.143,0.140,0.135,0.131,0.126,0.116,0.106,0.093,
R5ASIA,AIM - RCP 6.0,"Black Carbon emissions - Agriculture (Animals, Rice, & Soil)",Tg/yr,,,,,,,,,,,,,1) No data availlable for this category
R5LAM,AIM - RCP 6.0,"Black Carbon emissions - Agriculture (Animals, Rice, & Soil)",Tg/yr,,,,,,,,,,,,,1) No data availlable for this category
R5MAF,AIM - RCP 6.0,"Black Carbon emissions - Agriculture (Animals, Rice, & Soil)",Tg/yr,,,,,,,,,,,,,1) No data availlable for this category
R5OECD,AIM - RCP 6.0,"Black Carbon emissions - Agriculture (Animals, Rice, & Soil)",Tg/yr,,,,,,,,,,,,,1) No data availlable for this category
R5REF,AIM - RCP 6.0,"Black Carbon emissions - Agriculture (Animals, Rice, & Soil)",Tg/yr,,,,,,,,,,,,,1) No data availlable for this category
World,AIM - RCP 6.0,"Black Carbon emissions - Agriculture (Animals, Rice, & Soil)",Tg/yr,,,,,,,,,,,,,1) No data availlable for this category
R5ASIA,AIM - RCP 6.0,Black Carbon emissions - Grassland burning,Tg/yr,0.028,0.028,0.029,0.033,0.034,0.038,0.044,0.050,0.056,0.062,0.069,0.070,
R5LAM,AIM - RCP 6.0,Black Carbon emissions - Grassland burning,Tg/yr,0.144,0.146,0.143,0.152,0.145,0.142,0.145,0.149,0.153,0.157,0.159,0.159,
R5MAF,AIM - RCP 6.0,Black Carbon emissions - Grassland burning,Tg/yr,1.105,1.107,1.103,1.108,1.099,1.109,1.129,1.153,1.183,1.210,1.229,1.237,
R5OECD,AIM - RCP 6.0,Black Carbon emissions - Grassland burning,Tg/yr,0.141,0.142,0.141,0.152,0.141,0.143,0.145,0.150,0.152,0.154,0.156,0.157,
R5REF,AIM - RCP 6.0,Black Carbon emissions - Grassland burning,Tg/yr,0.064,0.064,0.064,0.066,0.067,0.069,0.071,0.073,0.075,0.078,0.079,0.081,
World,AIM - RCP 6.0,Black Carbon emissions - Grassland burning,Tg/yr,1.482,1.486,1.481,1.510,1.486,1.501,1.534,1.574,1.619,1.661,1.691,1.703,
R5ASIA,AIM - RCP 6.0,Black Carbon emissions - Forest burning,Tg/yr,0.459,0.460,0.460,0.489,0.495,0.508,0.529,0.553,0.578,0.602,0.633,0.656,
R5LAM,AIM - RCP 6.0,Black Carbon emissions - Forest burning,Tg/yr,0.336,0.340,0.332,0.345,0.336,0.326,0.331,0.338,0.348,0.357,0.365,0.369,
R5MAF,AIM - RCP 6.0,Black Carbon emissions - Forest burning,Tg/yr,0.116,0.117,0.115,0.119,0.122,0.132,0.146,0.164,0.184,0.205,0.226,0.244,
R5OECD,AIM - RCP 6.0,Black Carbon emissions - Forest burning,Tg/yr,0.068,0.067,0.068,0.069,0.068,0.068,0.069,0.071,0.072,0.072,0.073,0.074,
R5REF,AIM - RCP 6.0,Black Carbon emissions - Forest burning,Tg/yr,0.151,0.151,0.151,0.154,0.156,0.159,0.164,0.168,0.173,0.177,0.180,0.182,
World,AIM - RCP 6.0,Black Carbon emissions - Forest burning,Tg/yr,1.130,1.134,1.126,1.176,1.177,1.194,1.240,1.295,1.354,1.413,1.478,1.525,
R5ASIA,AIM - RCP 6.0,Organic carbon emissions - Total,Tg/yr,11.615,12.855,12.891,12.980,13.367,14.146,14.219,13.271,11.805,10.670,9.796,9.255,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5LAM,AIM - RCP 6.0,Organic carbon emissions - Total,Tg/yr,5.082,5.100,4.951,4.933,4.702,4.496,4.456,4.453,4.466,4.490,4.528,4.523,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5MAF,AIM - RCP 6.0,Organic carbon emissions - Total,Tg/yr,11.127,11.301,11.160,11.143,11.061,11.118,11.232,11.372,11.530,11.684,11.846,11.891,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5OECD,AIM - RCP 6.0,Organic carbon emissions - Total,Tg/yr,3.245,3.238,3.174,3.038,2.774,2.648,2.554,2.515,2.449,2.411,2.395,2.381,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5REF,AIM - RCP 6.0,Organic carbon emissions - Total,Tg/yr,4.731,4.825,4.819,4.587,4.380,4.218,4.115,4.069,4.050,4.059,4.089,4.101,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
World,AIM - RCP 6.0,Organic carbon emissions - Total,Tg/yr,35.939,37.454,37.118,36.784,36.373,36.701,36.639,35.728,34.336,33.340,32.673,32.165,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5ASIA,AIM - RCP 6.0,Organic Carbon Emissions - Surface Transportation,Tg/yr,0.373,0.408,0.396,0.380,0.365,0.368,0.339,0.283,0.225,0.168,0.124,0.091,
R5LAM,AIM - RCP 6.0,Organic Carbon Emissions - Surface Transportation,Tg/yr,0.356,0.342,0.307,0.258,0.224,0.186,0.150,0.119,0.088,0.066,0.050,0.039,
R5MAF,AIM - RCP 6.0,Organic Carbon Emissions - Surface Transportation,Tg/yr,0.331,0.349,0.324,0.292,0.275,0.249,0.217,0.186,0.158,0.130,0.108,0.087,
R5OECD,AIM - RCP 6.0,Organic Carbon Emissions - Surface Transportation,Tg/yr,0.319,0.321,0.290,0.225,0.170,0.127,0.093,0.066,0.046,0.031,0.021,0.014,
R5REF,AIM - RCP 6.0,Organic Carbon Emissions - Surface Transportation,Tg/yr,0.071,0.077,0.071,0.056,0.044,0.034,0.025,0.019,0.014,0.010,0.007,0.005,
World,AIM - RCP 6.0,Organic Carbon Emissions - Surface Transportation,Tg/yr,1.449,1.497,1.387,1.210,1.078,0.964,0.823,0.672,0.532,0.405,0.311,0.236,
R5ASIA,AIM - RCP 6.0,Organic Carbon Emissions - International Shipping,Tg/yr,,,,,,,,,,,,,
R5LAM,AIM - RCP 6.0,Organic Carbon Emissions - International Shipping,Tg/yr,,,,,,,,,,,,,
R5MAF,AIM - RCP 6.0,Organic Carbon Emissions - International Shipping,Tg/yr,,,,,,,,,,,,,
R5OECD,AIM - RCP 6.0,Organic Carbon Emissions - International Shipping,Tg/yr,,,,,,,,,,,,,
R5REF,AIM - RCP 6.0,Organic Carbon Emissions - International Shipping,Tg/yr,,,,,,,,,,,,,
World,AIM - RCP 6.0,Organic Carbon Emissions - International Shipping,Tg/yr,0.140,0.135,0.125,0.104,0.090,0.077,0.063,0.048,0.036,0.026,0.019,0.014,
R5ASIA,AIM - RCP 6.0,"Organic Carbon Emissions - Power Plants, Energy Conversion, Extraction, and Distribution",Tg/yr,0.091,0.101,0.109,0.110,0.089,0.101,0.083,0.084,0.055,0.041,0.030,0.024,
R5LAM,AIM - RCP 6.0,"Organic Carbon Emissions - Power Plants, Energy Conversion, Extraction, and Distribution",Tg/yr,0.030,0.028,0.026,0.016,0.015,0.017,0.018,0.018,0.014,0.012,0.005,0.004,
R5MAF,AIM - RCP 6.0,"Organic Carbon Emissions - Power Plants, Energy Conversion, Extraction, and Distribution",Tg/yr,0.040,0.041,0.043,0.040,0.039,0.038,0.036,0.034,0.021,0.016,0.011,0.009,
R5OECD,AIM - RCP 6.0,"Organic Carbon Emissions - Power Plants, Energy Conversion, Extraction, and Distribution",Tg/yr,0.169,0.163,0.153,0.121,0.098,0.077,0.055,0.041,0.027,0.015,0.008,0.004,
R5REF,AIM - RCP 6.0,"Organic Carbon Emissions - Power Plants, Energy Conversion, Extraction, and Distribution",Tg/yr,0.039,0.027,0.024,0.015,0.011,0.007,0.005,0.004,0.002,0.001,0.001,0.001,
World,AIM - RCP 6.0,"Organic Carbon Emissions - Power Plants, Energy Conversion, Extraction, and Distribution",Tg/yr,0.368,0.360,0.354,0.302,0.252,0.241,0.197,0.180,0.119,0.085,0.054,0.041,
R5ASIA,AIM - RCP 6.0,Organic Carbon Emissions - Solvents,Tg/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5LAM,AIM - RCP 6.0,Organic Carbon Emissions - Solvents,Tg/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5MAF,AIM - RCP 6.0,Organic Carbon Emissions - Solvents,Tg/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5OECD,AIM - RCP 6.0,Organic Carbon Emissions - Solvents,Tg/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5REF,AIM - RCP 6.0,Organic Carbon Emissions - Solvents,Tg/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
World,AIM - RCP 6.0,Organic Carbon Emissions - Solvents,Tg/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5ASIA,AIM - RCP 6.0,"Organic Carbon Emissions - Waste (landfills, wastewater, non-energy incineration)",Tg/yr,0.013,0.012,0.011,0.008,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.001,
R5LAM,AIM - RCP 6.0,"Organic Carbon Emissions - Waste (landfills, wastewater, non-energy incineration)",Tg/yr,0.005,0.005,0.004,0.003,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,
R5MAF,AIM - RCP 6.0,"Organic Carbon Emissions - Waste (landfills, wastewater, non-energy incineration)",Tg/yr,0.007,0.007,0.007,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,
R5OECD,AIM - RCP 6.0,"Organic Carbon Emissions - Waste (landfills, wastewater, non-energy incineration)",Tg/yr,0.013,0.011,0.010,0.007,0.005,0.004,0.003,0.002,0.001,0.001,0.001,0.001,
R5REF,AIM - RCP 6.0,"Organic Carbon Emissions - Waste (landfills, wastewater, non-energy incineration)",Tg/yr,0.009,0.008,0.007,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,
World,AIM - RCP 6.0,"Organic Carbon Emissions - Waste (landfills, wastewater, non-energy incineration)",Tg/yr,0.047,0.043,0.038,0.029,0.022,0.016,0.012,0.009,0.006,0.005,0.003,0.002,
R5ASIA,AIM - RCP 6.0,Organic Carbon Emissions - Industry (combustion & processing),Tg/yr,1.452,1.566,1.717,1.684,1.704,1.659,1.519,1.248,0.913,0.659,0.479,0.360,1) MiniCAM includes emissions from charcoal production in Industry
R5LAM,AIM - RCP 6.0,Organic Carbon Emissions - Industry (combustion & processing),Tg/yr,0.366,0.365,0.353,0.315,0.281,0.235,0.189,0.146,0.104,0.074,0.055,0.043,1) MiniCAM includes emissions from charcoal production in Industry
R5MAF,AIM - RCP 6.0,Organic Carbon Emissions - Industry (combustion & processing),Tg/yr,0.191,0.206,0.207,0.221,0.220,0.209,0.196,0.177,0.140,0.111,0.094,0.078,1) MiniCAM includes emissions from charcoal production in Industry
R5OECD,AIM - RCP 6.0,Organic Carbon Emissions - Industry (combustion & processing),Tg/yr,0.182,0.182,0.170,0.137,0.106,0.080,0.060,0.043,0.030,0.020,0.013,0.009,1) MiniCAM includes emissions from charcoal production in Industry
R5REF,AIM - RCP 6.0,Organic Carbon Emissions - Industry (combustion & processing),Tg/yr,0.062,0.063,0.057,0.047,0.038,0.028,0.021,0.015,0.010,0.006,0.004,0.003,1) MiniCAM includes emissions from charcoal production in Industry
World,AIM - RCP 6.0,Organic Carbon Emissions - Industry (combustion & processing),Tg/yr,2.253,2.381,2.505,2.405,2.348,2.211,1.985,1.629,1.197,0.869,0.645,0.492,1) MiniCAM includes emissions from charcoal production in Industry
R5ASIA,AIM - RCP 6.0,Organic Carbon Emissions - Residential and Commercial,Tg/yr,4.266,5.299,5.174,5.069,5.423,6.101,6.159,5.310,4.018,2.974,2.058,1.514,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5LAM,AIM - RCP 6.0,Organic Carbon Emissions - Residential and Commercial,Tg/yr,0.312,0.299,0.273,0.207,0.172,0.144,0.118,0.095,0.073,0.053,0.041,0.032,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5MAF,AIM - RCP 6.0,Organic Carbon Emissions - Residential and Commercial,Tg/yr,1.487,1.595,1.512,1.468,1.443,1.380,1.273,1.141,0.982,0.821,0.709,0.584,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5OECD,AIM - RCP 6.0,Organic Carbon Emissions - Residential and Commercial,Tg/yr,0.445,0.438,0.427,0.350,0.280,0.217,0.164,0.117,0.076,0.048,0.030,0.021,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5REF,AIM - RCP 6.0,Organic Carbon Emissions - Residential and Commercial,Tg/yr,1.247,1.352,1.344,1.107,0.875,0.666,0.490,0.354,0.239,0.166,0.126,0.093,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
World,AIM - RCP 6.0,Organic Carbon Emissions - Residential and Commercial,Tg/yr,7.756,8.982,8.730,8.201,8.193,8.507,8.205,7.018,5.388,4.062,2.964,2.244,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5ASIA,AIM - RCP 6.0,Organic Carbon Emissions - Ag waste burning on fields,Tg/yr,0.324,0.364,0.373,0.351,0.346,0.327,0.306,0.286,0.270,0.249,0.197,0.162,
R5LAM,AIM - RCP 6.0,Organic Carbon Emissions - Ag waste burning on fields,Tg/yr,0.104,0.112,0.118,0.093,0.095,0.097,0.097,0.100,0.100,0.091,0.095,0.089,
R5MAF,AIM - RCP 6.0,Organic Carbon Emissions - Ag waste burning on fields,Tg/yr,0.108,0.120,0.126,0.111,0.117,0.121,0.122,0.126,0.124,0.118,0.122,0.112,
R5OECD,AIM - RCP 6.0,Organic Carbon Emissions - Ag waste burning on fields,Tg/yr,0.084,0.085,0.087,0.069,0.070,0.072,0.071,0.071,0.069,0.065,0.064,0.059,
R5REF,AIM - RCP 6.0,Organic Carbon Emissions - Ag waste burning on fields,Tg/yr,0.078,0.081,0.078,0.062,0.055,0.052,0.048,0.046,0.040,0.032,0.028,0.023,
World,AIM - RCP 6.0,Organic Carbon Emissions - Ag waste burning on fields,Tg/yr,0.698,0.762,0.781,0.686,0.684,0.669,0.644,0.629,0.604,0.555,0.507,0.445,
R5ASIA,AIM - RCP 6.0,"Organic Carbon Emissions - Agriculture (Animals, Rice, & Soil)",Tg/yr,,,,,,,,,,,,,1) No data availlable for this category
R5LAM,AIM - RCP 6.0,"Organic Carbon Emissions - Agriculture (Animals, Rice, & Soil)",Tg/yr,,,,,,,,,,,,,1) No data availlable for this category
R5MAF,AIM - RCP 6.0,"Organic Carbon Emissions - Agriculture (Animals, Rice, & Soil)",Tg/yr,,,,,,,,,,,,,1) No data availlable for this category
R5OECD,AIM - RCP 6.0,"Organic Carbon Emissions - Agriculture (Animals, Rice, & Soil)",Tg/yr,,,,,,,,,,,,,1) No data availlable for this category
R5REF,AIM - RCP 6.0,"Organic Carbon Emissions - Agriculture (Animals, Rice, & Soil)",Tg/yr,,,,,,,,,,,,,1) No data availlable for this category
World,AIM - RCP 6.0,"Organic Carbon Emissions - Agriculture (Animals, Rice, & Soil)",Tg/yr,,,,,,,,,,,,,1) No data availlable for this category
R5ASIA,AIM - RCP 6.0,Organic Carbon Emissions -Grassland burning,Tg/yr,0.206,0.210,0.216,0.247,0.259,0.296,0.341,0.386,0.438,0.486,0.547,0.556,
R5LAM,AIM - RCP 6.0,Organic Carbon Emissions -Grassland burning,Tg/yr,1.041,1.053,1.033,1.102,1.051,1.035,1.059,1.088,1.123,1.153,1.171,1.174,
R5MAF,AIM - RCP 6.0,Organic Carbon Emissions -Grassland burning,Tg/yr,7.990,8.002,7.976,8.008,7.939,8.011,8.160,8.341,8.571,8.779,8.924,8.992,
R5OECD,AIM - RCP 6.0,Organic Carbon Emissions -Grassland burning,Tg/yr,1.042,1.046,1.042,1.120,1.045,1.064,1.087,1.128,1.140,1.162,1.176,1.184,
R5REF,AIM - RCP 6.0,Organic Carbon Emissions -Grassland burning,Tg/yr,0.543,0.541,0.548,0.571,0.589,0.613,0.642,0.675,0.711,0.743,0.769,0.787,
World,AIM - RCP 6.0,Organic Carbon Emissions -Grassland burning,Tg/yr,10.822,10.852,10.816,11.048,10.882,11.018,11.289,11.617,11.983,12.323,12.587,12.693,
R5ASIA,AIM - RCP 6.0,Organic Carbon Emissions - Forest burning,Tg/yr,4.889,4.895,4.896,5.130,5.177,5.289,5.468,5.673,5.884,6.092,6.359,6.548,
R5LAM,AIM - RCP 6.0,Organic Carbon Emissions - Forest burning,Tg/yr,2.869,2.898,2.836,2.939,2.862,2.779,2.825,2.885,2.963,3.040,3.110,3.143,
R5MAF,AIM - RCP 6.0,Organic Carbon Emissions - Forest burning,Tg/yr,0.973,0.980,0.966,0.996,1.023,1.108,1.223,1.365,1.531,1.709,1.879,2.028,
R5OECD,AIM - RCP 6.0,Organic Carbon Emissions - Forest burning,Tg/yr,0.992,0.991,0.993,1.010,0.999,1.007,1.022,1.047,1.059,1.070,1.082,1.090,
R5REF,AIM - RCP 6.0,Organic Carbon Emissions - Forest burning,Tg/yr,2.684,2.677,2.691,2.725,2.765,2.817,2.883,2.956,3.033,3.100,3.152,3.189,
World,AIM - RCP 6.0,Organic Carbon Emissions - Forest burning,Tg/yr,12.407,12.442,12.383,12.800,12.824,13.000,13.421,13.927,14.471,15.010,15.583,15.999,
R5ASIA,AIM - RCP 6.0,CO emissions - Total,TgCO/yr,397.700,404.851,405.274,419.089,454.293,495.431,507.219,489.527,447.147,394.253,359.477,326.686,"1) Note that totals do aggregate available data, and do thus not always include all sources."
R5LAM,AIM - RCP 6.0,CO emissions - Total,TgCO/yr,112.816,112.166,107.796,107.161,102.753,98.645,97.500,96.981,96.292,95.928,96.344,95.551,"1) Note that totals do aggregate available data, and do thus not always include all sources."
R5MAF,AIM - RCP 6.0,CO emissions - Total,TgCO/yr,286.033,286.205,279.655,272.965,267.297,271.738,263.063,257.223,253.125,252.701,252.795,251.339,"1) Note that totals do aggregate available data, and do thus not always include all sources."
R5OECD,AIM - RCP 6.0,CO emissions - Total,TgCO/yr,189.969,186.200,174.830,152.816,131.093,114.160,99.162,86.356,75.084,65.977,60.053,55.241,"1) Note that totals do aggregate available data, and do thus not always include all sources."
R5REF,AIM - RCP 6.0,CO emissions - Total,TgCO/yr,81.149,82.159,80.175,75.286,71.905,68.958,66.736,65.434,64.541,63.806,63.822,63.180,"1) Note that totals do aggregate available data, and do thus not always include all sources."
World,AIM - RCP 6.0,CO emissions - Total,TgCO/yr,1068.820,1072.724,1048.816,1028.272,1028.221,1049.736,1034.381,996.099,936.652,873.021,832.771,792.219,"1) Note that totals do aggregate available data, and do thus not always include all sources."
R5ASIA,AIM - RCP 6.0,CO emissions - Surface Transportation,TgCO/yr,41.397,46.774,50.510,54.367,61.353,71.981,75.158,70.275,60.909,48.379,38.303,29.502,
R5LAM,AIM - RCP 6.0,CO emissions - Surface Transportation,TgCO/yr,20.953,20.249,18.400,16.532,15.455,13.915,12.045,10.245,8.257,6.706,5.631,4.669,
R5MAF,AIM - RCP 6.0,CO emissions - Surface Transportation,TgCO/yr,24.302,26.477,25.187,24.640,25.333,24.511,22.980,21.220,19.350,17.277,15.582,13.567,
R5OECD,AIM - RCP 6.0,CO emissions - Surface Transportation,TgCO/yr,119.337,118.081,109.031,90.578,74.424,60.450,47.882,36.474,26.949,19.121,14.134,10.220,
R5REF,AIM - RCP 6.0,CO emissions - Surface Transportation,TgCO/yr,17.023,18.172,17.043,14.123,11.911,9.667,7.590,6.008,4.748,3.740,3.265,2.497,
World,AIM - RCP 6.0,CO emissions - Surface Transportation,TgCO/yr,223.006,229.743,220.164,200.233,188.469,180.517,165.647,144.218,120.209,95.220,76.912,60.454,
R5ASIA,AIM - RCP 6.0,CO emissions - International Shipping,TgCO/yr,,,,,,,,,,,,,
R5LAM,AIM - RCP 6.0,CO emissions - International Shipping,TgCO/yr,,,,,,,,,,,,,
R5MAF,AIM - RCP 6.0,CO emissions - International Shipping,TgCO/yr,,,,,,,,,,,,,
R5OECD,AIM - RCP 6.0,CO emissions - International Shipping,TgCO/yr,,,,,,,,,,,,,
R5REF,AIM - RCP 6.0,CO emissions - International Shipping,TgCO/yr,,,,,,,,,,,,,
World,AIM - RCP 6.0,CO emissions - International Shipping,TgCO/yr,1.186,1.179,1.115,0.989,0.907,0.830,0.722,0.592,0.472,0.366,0.294,0.229,
R5ASIA,AIM - RCP 6.0,"CO emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCO/yr,4.976,5.598,5.664,5.159,4.467,5.122,4.733,4.429,2.269,1.594,1.022,0.871,
R5LAM,AIM - RCP 6.0,"CO emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCO/yr,1.121,1.091,0.960,0.618,0.530,0.539,0.562,0.608,0.337,0.311,0.289,0.303,
R5MAF,AIM - RCP 6.0,"CO emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCO/yr,10.517,13.546,19.016,17.914,19.141,27.931,21.601,15.686,8.868,6.119,4.011,2.636,
